sekcja,pole,lewy_archetyp,prawy_archetyp,typ_odpowiedzi,dopuszczalne_wejscie,normalizacja,punkty_lewa_strona,punkty_prawa_strona,odpowiedz_r,punkty_left,punkty_right,opis,_tmp
A,A12,Niewinny,Czarodziej,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,5,-1,1,preferencja prawej strony,1
A,A12,Niewinny,Czarodziej,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,6,-2,2,preferencja prawej strony,1
A,A12,Niewinny,Czarodziej,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,7,-3,3,preferencja prawej strony,1
A,A13,Czarodziej,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,1,3,-3,preferencja lewej strony,1
A,A13,Czarodziej,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,2,2,-2,preferencja lewej strony,1
A,A13,Czarodziej,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,3,1,-1,preferencja lewej strony,1
A,A13,Czarodziej,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,4,0,0,neutralnie,1
A,A13,Czarodziej,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,5,-1,1,preferencja prawej strony,1
A,A13,Czarodziej,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,6,-2,2,preferencja prawej strony,1
A,A13,Czarodziej,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,7,-3,3,preferencja prawej strony,1
A,A14,Towarzysz,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,1,3,-3,preferencja lewej strony,1
A,A14,Towarzysz,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,2,2,-2,preferencja lewej strony,1
A,A14,Towarzysz,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,3,1,-1,preferencja lewej strony,1
A,A14,Towarzysz,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,4,0,0,neutralnie,1
A,A14,Towarzysz,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,5,-1,1,preferencja prawej strony,1
A,A14,Towarzysz,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,6,-2,2,preferencja prawej strony,1
A,A14,Towarzysz,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,7,-3,3,preferencja prawej strony,1
A,A15,Błazen,Niewinny,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,1,3,-3,preferencja lewej strony,1
A,A15,Błazen,Niewinny,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,2,2,-2,preferencja lewej strony,1
A,A15,Błazen,Niewinny,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,3,1,-1,preferencja lewej strony,1
A,A15,Błazen,Niewinny,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,4,0,0,neutralnie,1
A,A15,Błazen,Niewinny,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,5,-1,1,preferencja prawej strony,1
A,A15,Błazen,Niewinny,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,6,-2,2,preferencja prawej strony,1
A,A15,Błazen,Niewinny,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,7,-3,3,preferencja prawej strony,1
A,A16,Odkrywca,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,1,3,-3,preferencja lewej strony,1
A,A16,Odkrywca,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,2,2,-2,preferencja lewej strony,1
A,A16,Odkrywca,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,3,1,-1,preferencja lewej strony,1
A,A16,Odkrywca,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,4,0,0,neutralnie,1
A,A16,Odkrywca,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,5,-1,1,preferencja prawej strony,1
A,A16,Odkrywca,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,6,-2,2,preferencja prawej strony,1
A,A16,Odkrywca,Mędrzec,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,7,-3,3,preferencja prawej strony,1
A,A17,Kochanek,Buntownik,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,1,3,-3,preferencja lewej strony,1
A,A17,Kochanek,Buntownik,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,2,2,-2,preferencja lewej strony,1
A,A17,Kochanek,Buntownik,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,3,1,-1,preferencja lewej strony,1
A,A17,Kochanek,Buntownik,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,4,0,0,neutralnie,1
A,A17,Kochanek,Buntownik,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,5,-1,1,preferencja prawej strony,1
A,A17,Kochanek,Buntownik,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,6,-2,2,preferencja prawej strony,1
A,A17,Kochanek,Buntownik,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,7,-3,3,preferencja prawej strony,1
A,A18,Błazen,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,1,3,-3,preferencja lewej strony,1
A,A18,Błazen,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,2,2,-2,preferencja lewej strony,1
A,A18,Błazen,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,3,1,-1,preferencja lewej strony,1
A,A18,Błazen,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,4,0,0,neutralnie,1
A,A18,Błazen,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,5,-1,1,preferencja prawej strony,1
A,A18,Błazen,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,6,-2,2,preferencja prawej strony,1
A,A18,Błazen,Twórca,skala 1-7 (int),"1,2,3,4,5,6,7",int 1..7 (poza zakresem = brak),4 - r,r - 4,7,-3,3,preferencja prawej strony,1
